,Colorectal cancer,West nile virus infection,Lung cancer,Cerebral cavernous malformations,Thyroid cancer,Esophageal cancer,Alzheimer disease,Rheumatoid arthritis,Colorectal adenocarcinoma,Gastric cancer,Pancreatic adenocarcinoma,Liver fibrosis,Hepatocellular carcinoma,Osteoarthritis,Multiple myeloma,Prostate cancer,Osteosarcoma,Colorectal carcinoma,Muscle-invasive bladder cancer,Parkinson disease,Breast cancer,Pancreatic cancer,Colon cancer,Laryngeal cancer,Laryngeal squamous cell carcinoma,Glioblastoma,Glioma,Pancreatic ductal adenocarcinoma,Liver cancer,Lung squamous cell carcinoma,Non small cell lung cancer,Non small cell lung carcinoma,Ovarian carcinoma,Cervical cancer,Renal cell carcinoma,Clear cell renal cell carcinoma,Cholangiocarcinoma,Neuroblastoma,Acute myeloid leukemia,Nasopharyngeal carcinoma,Esophageal squamous cell cancer,Esophageal squamous cell carcinoma,Liver cirrhosis,Early hepatocellular carcinoma,Triple negative breast cancer,Bladder cancer,Atherosclerosis,Ovarian cancer,Papillary thyroid cancer,Papillary thyroid carcinoma,Gastric carcinoma,Nasopharyngeal cancer,Nk/T cell lymphoma,Ischemia,Esophagus adenocarcinoma,Retinoblastoma,Epithelial ovarian cancer,Renal cell cancer,Diffuse large B cell lymphoma,Oral squamous cell carcinoma,Lymphoma,Hemangioma,Myasthenia gravis,Pneumonia,Pediatric neuroblastoma,Leukemia lymphoblastic acute,Tongue squamous cell carcinoma,Melanoma,Nonalcoholic fatty liver disease,Epithelial ovarian carcinoma,Herpes simplex keratitis,Dysregulated immunity,Pre-eclampsia,Chronic obstructive pulmonary disease,Lung adenocarcinoma,T-cell acute lymphoblastic leukemia,Chronic myeloid leukemia,Ovarian clear cell carcinoma,Primary breast cancer,Wilms tumor,Colon and rectal adenocarcinoma,Uveal melanoma,Hypopharyngeal cancer,Cardiac hypertrophy,Hepatic carcinoma,Cancer,Tuberculosis,Prader-willi syndrome,Acute promyelocytic leukemia,Heart failure,Uterine leiomyoma,Adenocarcinoma,Lung carcinoma,Head and neck squamous cell carcinoma,Psoriatic arthritis,B-cell lymphoma,Prostate carcinoma,Prostatic neoplasms,Malignant glioma,Epstein-barr virus infections,Stomach cancer,Urinary bladder cancer,Colon carcinoma,Gallbladder cancer,Liposarcoma,Meningioma,Uterine cervical neoplasm,Renal carcinoma,Lung small cell carcinoma,Mouth neoplasms,Lymphosarcoma,Breast neoplasms
GAS5,0.064517216,0.077901133,0.175346036,0.048177751,0.015725527,0.033134327,1.94704E-05,0.016529487,0.000591891,0.450891715,0.001764465,0.000196989,0.189985806,0.004494491,0.001451542,0.037611929,0.016715304,0.00283493,0.002779665,0.00261964,0.040132782,0.012100031,0.006557158,0.001157297,0.000975541,0.013168535,0.013119794,0.064771184,0.007433128,0.001007925,0.009214484,0.015253902,0.003885159,0.00844737,0.003618766,0.005694284,0.001029758,0.007147254,0.012053179,0.001676152,0.000833338,0.000598372,0.002611509,0.001764513,7.87089E-05,0.004722993,2.93329E-09,0.010888903,0.000681377,0.003409519,0.000816209,1.17704E-66,3.89826E-26,7.4392E-06,0.004324144,0.000700931,0.002275305,0.005172835,0.083341338,0.023014594,0.001372076,0.000590888,0.000550626,0.000396668,0.000742653,0.001007649,0.000551088,0.007366117,4.39529E-56,0.000250842,0.002833295,0.064819303,0.000251285,0.000260676,0.050964804,0.000961738,0.00103863,7.63965E-05,0.000886505,0.000553496,0.000742935,0.002592381,0.002873041,0.002368232,0.003650907,0.041702868,0.001355455,0.001821425,0.002167288,0.007609853,0.02433442,0.001329272,0.001651241,0.000676453,0.000531866,0.001308415,0.0005443,0.00326516,0.004844183,0.001400575,0.00307878,0.002902938,0.00303033,0.002993504,0.00288339,0.002816856,0.002825878,0.002822334,0.003121477,0.003105836,0.003103273,0.002940135
MEG8,0.121976253,0.076484516,0.211092682,0.624435693,0.070810864,0.095766799,0.009745666,0.016251853,0.005396648,0.471118218,0.006741908,0.003237984,0.264961264,0.023453143,0.009065585,0.079212699,0.068284502,0.018894682,0.022461028,0.025679058,0.085429361,0.039812858,0.032646588,0.011956114,0.01584965,0.049127211,0.062373307,0.072170016,0.036513664,0.015753269,0.053807293,0.057338552,0.015231204,0.046073967,0.023344759,0.031465047,0.011650868,0.023796253,0.033296991,0.020434248,0.020904374,0.025283793,0.012700935,0.012620695,0.009374466,0.030554151,0.008318597,0.045926934,0.015322739,0.02114439,0.015363384,0.007503089,0.007476172,0.018110481,0.022332557,0.023209876,0.015449018,0.01921966,0.078347408,0.043485632,0.011670445,0.013947418,0.009158176,0.008698697,0.009982272,0.010406095,0.006335055,0.022446778,0.006672663,0.005592332,0.006452525,0.060148945,0.00658811,0.006545073,0.050736319,0.00828728,0.009306961,0.007519402,0.009460542,0.009602866,0.009309507,0.011284809,0.012637049,0.010345268,0.012581571,0.043059726,0.003433105,0.014766051,0.013477067,0.032661449,0.024474308,0.006288023,0.007202809,0.006099631,0.004626322,0.005727445,0.005368783,0.007072043,0.012120014,0.002592529,0.010125501,0.009457714,0.008396176,0.009265737,0.008652868,0.010214575,0.008958328,0.008691085,0.008892824,0.010082998,0.006921681,0.007866838
RNU1-1,0.045112141,0.077141258,0.120582579,0.056627016,0.008915994,0.019088376,0.006814438,0.020976396,0.00729524,0.398111751,0.008366966,0.006893985,0.098896836,0.010436308,0.007535861,0.031237633,0.010617555,0.006840346,0.008085497,0.006768514,0.032660263,0.007705524,0.007093962,0.006988375,0.006790861,0.008563713,0.009745288,0.067947222,0.007643306,0.006779897,0.008272229,0.010730531,0.006778863,0.007685725,0.0069136,0.007185175,0.006982697,0.006788101,0.011783971,0.00678954,0.00734328,0.00678573,0.009138294,0.007761743,0.006811674,0.0069433,0.006753713,0.012215906,0.007422993,0.006845888,0.0070781,0.00673963,0.006742802,0.006862848,0.006840847,0.007188306,0.006988671,0.006741442,0.090871825,0.025195898,0.008075216,0.007368643,0.007210227,0.007098443,0.007457556,0.007687383,0.007255974,0.00709028,0.006715143,0.006981058,0.007680341,0.061716108,0.006965042,0.00696922,0.058191491,0.00745573,0.007381801,0.006789241,0.007073149,0.006929803,0.006907802,0.006746878,0.006794636,0.006731148,0.006724123,0.047425728,0.007918849,0.00770842,0.007502819,0.011574627,0.02781318,0.007976672,0.00790848,0.007387179,0.007228107,0.007983458,0.007246027,0.007126596,0.007090456,0.007898218,0.006944162,0.006908537,0.006785166,0.006819388,0.006801637,0.006823587,0.00681148,0.006801604,0.006880302,0.00694337,0.007286212,0.006758203
RNU1-2,0.042018374,0.071682269,0.120179164,0.048971369,0.003873746,0.0146757,2.72105E-05,0.014670143,0.000613975,0.393910596,0.001772168,0.000206157,0.103288579,0.003749414,0.000945741,0.025939577,0.005384784,0.000383405,0.001577267,0.000318931,0.027258071,0.00233169,0.001080258,0.000347155,0.000118769,0.00311454,0.004169057,0.064315356,0.001727722,0.00012474,0.002410443,0.00534933,0.000473004,0.001895086,0.000546079,0.001042373,0.000323426,0.000870152,0.005933764,0.000204065,0.00062072,7.3046E-05,0.002446553,0.001179735,8.2346E-05,0.000752141,1.76022E-05,0.006100565,0.000718736,0.000511966,0.000417282,2.76122E-06,7.65084E-06,0.000145075,0.000632455,0.000527419,0.000508923,0.000629773,0.087812718,0.018789868,0.001434372,0.000679096,0.00055687,0.000418008,0.000780322,0.001038355,0.000573134,0.001208155,2.79458E-06,0.000277411,0.001301129,0.059897502,0.000272012,0.000277571,0.053699137,0.000819455,0.000744722,7.76078E-05,0.000435583,0.000262023,0.000264636,0.000337834,0.000415089,0.000300798,0.000444498,0.042126229,0.001327668,0.001139483,0.000991447,0.005125758,0.021319969,0.001349304,0.001330199,0.000707504,0.000550957,0.001347968,0.000562256,0.000753327,0.000929207,0.001340067,0.000581016,0.000524815,0.00042773,0.000454628,0.000424585,0.000435394,0.00042642,0.000416314,0.000527168,0.000582496,0.000914291,0.000389649
RNU1-3,0.041922333,0.071643768,0.120246377,0.054282319,0.00398924,0.014744089,3.26035E-05,0.014685292,0.00061946,0.394206452,0.001771493,0.000218355,0.103153026,0.00382435,0.000976694,0.025942776,0.00536544,0.000377857,0.001572276,0.000313877,0.027257091,0.002308039,0.001067032,0.000347053,0.000116886,0.003094395,0.00418195,0.064075276,0.001713987,0.000122805,0.002436594,0.00536045,0.000465508,0.001932072,0.000538882,0.001032356,0.000324459,0.000856362,0.005925906,0.000200831,0.00062159,7.18911E-05,0.002525275,0.001232375,8.89343E-05,0.000742667,3.10066E-05,0.006139337,0.000716794,0.00050519,0.000468747,4.86425E-06,1.3478E-05,0.000254865,0.00070485,0.000612217,0.000505164,0.000619793,0.087493488,0.018830992,0.001442393,0.000719869,0.000561818,0.000416532,0.000777861,0.001041001,0.000577945,0.001194658,4.92303E-06,0.000289413,0.001304089,0.060001316,0.000276625,0.000280819,0.053503922,0.000823701,0.0007524,8.18666E-05,0.000437634,0.000273641,0.000267631,0.000332958,0.000412427,0.000305729,0.000437465,0.042011239,0.001333387,0.001230107,0.001056877,0.005337098,0.021337075,0.001355284,0.001332951,0.000716109,0.000557263,0.001354782,0.000567871,0.000752516,0.000925567,0.001355132,0.00058251,0.000525285,0.000426295,0.000455665,0.000428483,0.000451187,0.000427258,0.000415942,0.000527025,0.000583769,0.000920499,0.000391391
RNU1-4,0.042026481,0.071697583,0.120289871,0.053997713,0.004016077,0.014774396,3.23799E-05,0.014678433,0.000620537,0.394052973,0.001774306,0.000217769,0.103329657,0.003823083,0.000978185,0.025951981,0.005389375,0.000383836,0.001578005,0.000319342,0.02726868,0.002333657,0.001081191,0.000349489,0.000118922,0.003116981,0.004200696,0.064306402,0.001729178,0.000124901,0.002449932,0.005379598,0.000473613,0.001944443,0.000546611,0.001043312,0.00032668,0.000871273,0.005937485,0.000204328,0.000621556,7.31397E-05,0.00252158,0.001233795,8.85518E-05,0.000752821,3.0325E-05,0.00614718,0.000719262,0.000512468,0.00046741,4.75732E-06,1.31817E-05,0.000249297,0.000709766,0.000609823,0.000510205,0.000630585,0.087799483,0.018826001,0.001445739,0.00071985,0.000562329,0.000417986,0.000780474,0.001043242,0.00057903,0.001209336,4.81481E-06,0.000289536,0.001306555,0.059961697,0.000277261,0.000281467,0.053691044,0.000825212,0.000754846,8.16025E-05,0.000439407,0.000274069,0.000268881,0.00033829,0.000418078,0.000310187,0.000445081,0.042124219,0.00133375,0.001229964,0.001058115,0.005329522,0.021328466,0.001357275,0.001335045,0.000717319,0.000558071,0.001357353,0.000568723,0.00075797,0.000935508,0.001353493,0.000588284,0.000530926,0.000432223,0.000461305,0.000433822,0.000455778,0.000432597,0.000421361,0.000533025,0.000589751,0.000925946,0.000397078
RNU2-1,0.062054894,0.112614252,0.19559673,0.079000218,0.012714627,0.030525068,0.01066139,0.033203511,0.011254953,0.649190846,0.012526521,0.010845568,0.155847523,0.01596297,0.011477448,0.050048551,0.016745986,0.010678784,0.012127095,0.010646361,0.053002461,0.011670666,0.010959817,0.010876516,0.010655106,0.013487385,0.01526738,0.071266761,0.011658514,0.010647524,0.01287957,0.01690019,0.010674334,0.011786638,0.010766346,0.011277369,0.010857343,0.010677829,0.018470806,0.010655182,0.011385464,0.010659003,0.014178023,0.011653799,0.010736496,0.010856787,0.010641422,0.019068624,0.011339103,0.010744669,0.010965673,0.010642865,0.010642664,0.010622282,0.010661086,0.010993354,0.010885787,0.010632178,0.094086012,0.040782911,0.012056318,0.011235148,0.011234171,0.011039332,0.011392879,0.011694638,0.011207921,0.011209835,0.010623273,0.010888766,0.011950382,0.090306155,0.010888985,0.010902301,0.0616729,0.011475224,0.011303954,0.010724719,0.011013785,0.010855384,0.010843245,0.010668431,0.01072672,0.010628011,0.01063495,0.056594556,0.012138099,0.011509584,0.011373831,0.018052407,0.044871651,0.012051451,0.012040315,0.011338726,0.011190938,0.012008025,0.011211432,0.011299847,0.011047243,0.012240806,0.010912609,0.010862749,0.010740066,0.010777188,0.010751318,0.010754315,0.010767686,0.010756459,0.010843933,0.01090072,0.011312971,0.010700226
RNU7-1,0.044984423,0.07531481,0.126685735,0.059201889,0.004715468,0.016003624,3.72616E-05,0.015319509,0.000664287,0.410619081,0.001884132,0.000235957,0.110388892,0.004062848,0.001075427,0.027331519,0.005978032,0.000482231,0.001714704,0.000408741,0.028711543,0.002777827,0.001317112,0.000398112,0.000152213,0.00357224,0.004685787,0.06894842,0.002009203,0.00015933,0.002798032,0.005937202,0.000606199,0.002277766,0.000674652,0.001240417,0.000371845,0.001115181,0.006383371,0.000261529,0.000658291,9.35684E-05,0.002681028,0.001364573,9.64585E-05,0.000921632,3.90618E-05,0.006588002,0.000770308,0.000632996,0.000535994,6.12803E-06,1.69797E-05,0.000321119,0.000909956,0.000704468,0.000598226,0.000807114,0.093990336,0.019684438,0.001548682,0.000791794,0.000599186,0.000447481,0.000835179,0.001113865,0.000620068,0.001464282,6.20207E-06,0.000315581,0.001420976,0.062824206,0.000299541,0.000302898,0.057476868,0.000884312,0.000822157,8.78911E-05,0.000483795,0.000306719,0.000302335,0.000427125,0.000518799,0.000397198,0.000569679,0.044844386,0.001411061,0.001385897,0.001200666,0.005740643,0.022231474,0.001445759,0.001426362,0.000769571,0.000597601,0.001449995,0.000608504,0.000874343,0.001116603,0.001427712,0.000703069,0.000638789,0.000539199,0.000568954,0.00053918,0.000566578,0.000534093,0.000521839,0.000646706,0.000706239,0.001054757,0.00050253
RNVU1-18,0.042238623,0.071785293,0.120560186,0.049943498,0.003993119,0.014824803,2.82253E-05,0.014678202,0.000616457,0.394218711,0.001775141,0.000208365,0.10392764,0.003770969,0.000957567,0.026016832,0.005466059,0.000401394,0.001588758,0.000335677,0.027344945,0.002405076,0.001121201,0.000354062,0.000125004,0.003187213,0.004240113,0.064534828,0.001770819,0.000131166,0.002467017,0.005425256,0.000497838,0.001951332,0.000568847,0.001076294,0.000329844,0.000915838,0.005977254,0.000214779,0.00062181,7.68702E-05,0.002462881,0.001197192,8.34678E-05,0.00078172,1.99846E-05,0.006144897,0.000721021,0.000533426,0.000430238,3.135E-06,8.68652E-06,0.000164638,0.000674445,0.000546199,0.000522816,0.000662839,0.088077675,0.018821519,0.001439968,0.000688623,0.0005586,0.000419276,0.000782646,0.001041466,0.000575466,0.001253144,3.17288E-06,0.00028036,0.001312171,0.059895699,0.000273799,0.000279051,0.053861164,0.000822935,0.000750976,7.83126E-05,0.000440426,0.000266812,0.000269225,0.000354228,0.000433408,0.000317624,0.000467837,0.042233956,0.001329419,0.001164887,0.001014767,0.005182464,0.021335741,0.001352921,0.00133481,0.000710863,0.000553332,0.001352422,0.000564518,0.000772236,0.000959659,0.001341789,0.000600682,0.000543489,0.000447404,0.000474238,0.000444144,0.000456587,0.00044493,0.000434658,0.000547192,0.000602492,0.000933147,0.000409562
RNVU1-7,0.04190169,0.071604928,0.120148863,0.054202537,0.003984816,0.014730147,3.25493E-05,0.014673041,0.00061921,0.393906866,0.001770598,0.000218077,0.103072556,0.003821395,0.000975986,0.025921332,0.005359831,0.000377302,0.001571439,0.000313357,0.027235414,0.002305542,0.001065786,0.000346792,0.000116693,0.003090824,0.004177692,0.064073518,0.001712256,0.000122603,0.002433585,0.005354794,0.000464736,0.001929106,0.000538184,0.001031044,0.000324241,0.000854943,0.005920541,0.000200499,0.000620881,7.17723E-05,0.002522981,0.001231467,8.87928E-05,0.000741764,3.08846E-05,0.006134257,0.000716778,0.000504532,0.000467964,4.84512E-06,1.34249E-05,0.000253864,0.000703257,0.000611352,0.000504737,0.000618766,0.087492221,0.018816348,0.001442005,0.000719469,0.000561466,0.000416526,0.000777823,0.001040653,0.000577732,0.001193056,4.90366E-06,0.000289257,0.001302496,0.059940191,0.000276569,0.000280754,0.053503147,0.000823258,0.000752166,8.17483E-05,0.000437382,0.000273357,0.000267388,0.00033242,0.000411768,0.000305172,0.00043674,0.042004159,0.001332285,0.001228926,0.001055739,0.00533125,0.021320571,0.0013546,0.001332065,0.000715827,0.000557005,0.00135426,0.00056761,0.000751578,0.000924512,0.001353535,0.000581721,0.000524591,0.0004256,0.000454927,0.000427763,0.000450369,0.000426565,0.000415269,0.000526269,0.000583012,0.000919558,0.000390718
