Dataset: MDRF | Total known associations: 1010
Model: GBDT_SVM

===== FINAL SUMMARY =====
    n_clusters  mean_auc  mean_accuracy  f1_score
0            5  0.913843       0.844335  0.851466
1            6  0.918984       0.864162  0.865422
2            7  0.912902       0.859632  0.866824
3            8  0.919877       0.834418  0.845370
4            9  0.919528       0.858652  0.861449
5           10  0.915170       0.853694  0.861437
6           11  0.911958       0.849556  0.857813
7           12  0.900369       0.851117  0.852941
8           13  0.906163       0.847070  0.850920
9           14  0.922407       0.862820  0.862959
10          15  0.901755       0.841363  0.845968
11          16  0.908355       0.849956  0.857949
12          17  0.916067       0.857914  0.866729
13          18  0.906973       0.843093  0.849953
14          19  0.908119       0.836051  0.845216
15          20  0.914260       0.862189  0.868158
16          21  0.917097       0.858209  0.867380
17          22  0.925443       0.863751  0.871241
18          23  0.906685       0.846065  0.854725
