model,mean_roc_auc,std_roc_auc,mean_aupr,mean_accuracy,mean_f1
pso_svm,0.980149590865949,0.00793106829493086,0.9682219596959838,0.943,0.9014314286131121
lgb,0.9775681796483188,0.009425536766255967,0.961151422271703,0.9399999999999998,0.8976889801313084
rf,0.9743382923637671,0.013463633067652546,0.9554409753587274,0.925,0.8629942911120851
dnn,0.9740627095513285,0.012811698804234831,0.9538194076099933,0.9350000000000002,0.8904701845026226
pca_svm,0.973920443504681,0.009113363526075736,0.9472377636353204,0.931,0.8803642503350277
stacking,0.9733640984168168,0.012040665801719296,0.9540113186586339,0.9399999999999998,0.8975428058203075
svm,0.9716759894192375,0.011248100584570932,0.9450288450810327,0.922,0.8625981860495134
xgb,0.9711942530284906,0.009856145200867701,0.9491680767765803,0.9330000000000002,0.8859942272091222
voting,0.9699748650728128,0.012528567027114733,0.9459903016246052,0.932,0.8810312885492995
ga_xgb,0.9697227941300355,0.01617923717396874,0.9459987658255027,0.925,0.8711152458282152
bayes_opt_svms,0.9689214052645472,0.009748089266609677,0.9447766821454457,0.9200000000000002,0.8614107344927341
logistic,0.9086852447784162,0.018380422732765144,0.8024075182610408,0.8370000000000001,0.7208618531699036
bagging,0.9060323319798496,0.02110661647640685,0.7991106211145486,0.836,0.7200524907381609
