model,mean_roc_auc,std_roc_auc,mean_aupr,mean_accuracy,mean_f1
lgb,0.9380768819344245,0.01187007577020286,0.9304219748954987,0.8769246039131028,0.8795492636566085
ga_xgb,0.9314944027066023,0.014026320250294804,0.9220829782009599,0.874930832123671,0.8768315866715568
xgb,0.9312616050549778,0.011220588462101626,0.9204087253448836,0.8689482760759792,0.8711322605420392
voting,0.9312510572665307,0.01381656621646709,0.9245003197491322,0.8789146536643466,0.881332865539245
rf,0.9297565550524902,0.016294673111569364,0.9205561142940406,0.8784109378295556,0.8804827910914866
stacking,0.9197702870789591,0.008698153517727764,0.8914766057127063,0.8704532201833723,0.8761492067076961
bagging,0.9061953828548684,0.016111664717018446,0.9001887443387104,0.8390541060284612,0.840440214926754
logistic,0.8967480969202446,0.012756142658954514,0.8794306338729474,0.8276026352030372,0.8304628502054454
dnn,0.8772060052738941,0.014863172299293577,0.8784600893569678,0.8151424920286349,0.8083485028568218
pca_svm,0.8538959152196627,0.03021529498383371,0.847634989034424,0.7717981166486768,0.7603407182549409
pso_svm,0.8429933330016419,0.022817868455260487,0.8447943999531882,0.7623466210096648,0.7433481971467291
svm,0.8330826533658391,0.02458732609081752,0.8427382481604416,0.7533653428617512,0.7309121715666861
bayes_opt_svms,0.7630688342703618,0.11044918040731738,0.7392244254347892,0.6786082058535253,0.7465552848262916
