model,mean_roc_auc,std_roc_auc,mean_aupr,mean_accuracy,mean_f1
lgb,0.8728593602836398,0.02117924820638782,0.8758354738827812,0.7980207637666201,0.7975204390238675
voting,0.8642349297014661,0.029625109601044395,0.8706445423483171,0.7892295549754114,0.7890812618532028
stacking,0.8632077706259436,0.02996247917208201,0.8701320014338954,0.7837229069273268,0.7834971757610106
bagging,0.8627537544147218,0.038675380435711795,0.8621613968997381,0.8002489223483698,0.8039925667128536
ga_xgb,0.8579543457682197,0.021540271106093654,0.861407083729073,0.7848096654726489,0.7856627897374361
xgb,0.8494137285392782,0.02139188005350179,0.8520030398883025,0.7627466456195737,0.7631139621446107
svm,0.8367486771492635,0.03151401601068358,0.8236803281889602,0.787007467670451,0.7922388481683418
rf,0.83603408573731,0.028548873043656102,0.8500155742362239,0.749505190941655,0.7487376299412976
pso_svm,0.8305943359143164,0.025463344482055627,0.824646671139291,0.760482059377087,0.7559184489527591
pca_svm,0.8254269895549818,0.03884666434393129,0.8341513560492769,0.7528261793455163,0.7506233556123505
bayes_opt_svms,0.8229901645876243,0.026572382989360214,0.8148834823667312,0.7505858782101875,0.752970415702191
logistic,0.8197279171460901,0.02226322421336227,0.8095792433996248,0.7560985975350616,0.7574153156299546
dnn,0.7518599332058052,0.034503750140861884,0.736736114263086,0.6898913241454678,0.6665180601160606
