model,mean_roc_auc,std_roc_auc,mean_aupr,mean_accuracy,mean_f1
lgb,0.8993811232734046,0.017252818498090988,0.9035634205811556,0.8432396332948819,0.8447685028635075
stacking,0.8868451911221819,0.020076738071869327,0.8974576137027135,0.8354805415578896,0.8352701337271025
voting,0.8853032133149377,0.02216480220161877,0.8962408610784098,0.8288689211341145,0.8285831057113121
bagging,0.87750231882865,0.021190959109230936,0.8855189820522018,0.814522494080505,0.8203436060319838
ga_xgb,0.874715617661392,0.01977226675771489,0.8816717542157824,0.8112136482302228,0.8107589841843985
xgb,0.8723218886091383,0.020278533331017402,0.8787666459882552,0.818936312306478,0.820326007243138
rf,0.8589492634326538,0.03040849026412236,0.8774237366576955,0.7825147228462145,0.7819155085213991
svm,0.8528526215140773,0.028207888626386537,0.8490899825779902,0.7913362880213709,0.7966566823033349
bayes_opt_svms,0.846777177119141,0.018315251127600293,0.8457515885784108,0.7781312610041891,0.7860614986503608
pso_svm,0.8460454263751773,0.02946997592677066,0.8446425815573966,0.7725578289114201,0.7741462770666498
logistic,0.8452001857448854,0.020866374894687147,0.8460173030643137,0.781409750470524,0.7878112265570272
pca_svm,0.8282133089729573,0.017412563581080526,0.8446336181618816,0.7427903588124583,0.7429528889721183
dnn,0.7610145941557763,0.034038760416509016,0.7357720802296799,0.6908566571549997,0.6777129457952022
