disease,SnoRNA,Score
110,35,0.9967486296318472
21,103,0.9960910083151762
21,324,0.9960910083151762
21,329,0.9960910083151762
21,277,0.9960910083151762
21,255,0.9960910083151762
21,56,0.9960868232376549
21,219,0.9960784334845928
21,50,0.9957318233455617
110,20,0.9956606486762573
21,235,0.9956511095424576
21,331,0.9956511095424576
21,247,0.9956511095424576
21,280,0.9956511095424576
110,1,0.9956284505895272
21,205,0.995396111251623
21,95,0.994896783799291
21,138,0.9948578614836596
21,126,0.9948578614836596
21,147,0.994825181194832
21,252,0.994825181194832
21,1,0.994825181194832
21,141,0.994825181194832
21,117,0.994825181194832
21,124,0.994825181194832
110,219,0.9944601021047872
21,160,0.9944063840395972
21,204,0.9943434401275452
110,27,0.994340200388459
110,39,0.994340200388459
110,245,0.9943351617508768
110,277,0.9943351617508768
110,329,0.9943351617508768
110,324,0.9943351617508768
21,200,0.9942751081097344
110,110,0.9941352523408876
21,271,0.9940772597405884
21,270,0.9940225324060468
74,277,0.9939572077751424
110,280,0.993875870788903
54,56,0.9936657443704152
21,294,0.9934099060051236
54,35,0.993307572272902
54,277,0.9932810429927984
54,329,0.9932810429927984
42,277,0.9932810429927984
42,329,0.9932810429927984
42,255,0.9932810429927984
54,255,0.9932810429927984
42,245,0.9932810429927984
42,324,0.9932810429927984
110,312,0.9931442867103272
91,121,0.9930342995422295
82,121,0.9930342995422295
54,205,0.992949464342803
23,247,0.9928403169618564
91,85,0.9928403169618564
53,235,0.9928403169618564
23,235,0.9928403169618564
53,68,0.9928403169618564
82,331,0.9928403169618564
91,134,0.9928403169618564
23,63,0.9928403169618564
53,331,0.9928403169618564
23,329,0.9928403169618564
91,63,0.9928403169618564
82,68,0.9928403169618564
91,68,0.9928403169618564
91,61,0.9928403169618564
82,53,0.9928403169618564
53,247,0.9928403169618564
91,247,0.9928403169618564
91,53,0.9928403169618564
91,94,0.9928403169618564
53,329,0.9928403169618564
82,247,0.9928403169618564
82,329,0.9928403169618564
82,134,0.9928403169618564
23,331,0.9928403169618564
21,39,0.992759354145052
21,42,0.992759354145052
21,37,0.992759354145052
21,334,0.992759354145052
42,247,0.9927108355568888
54,235,0.9927108355568888
54,331,0.9927108355568888
42,331,0.9927108355568888
42,280,0.9927108355568888
42,235,0.9927108355568888
54,247,0.9927108355568888
54,280,0.9927108355568888
42,289,0.9927108355568888
54,289,0.9927108355568888
110,289,0.9926509561625584
42,242,0.9923847117860646
42,205,0.9922961322325364
29,56,0.9922531250098908
110,198,0.9921295708408624
110,63,0.9920737966803624
70,44,0.991901413664926
70,37,0.991901413664926
70,45,0.991901413664926
70,41,0.991901413664926
70,43,0.991901413664926
70,31,0.991901413664926
70,33,0.991901413664926
70,42,0.991901413664926
21,128,0.9918543325043891
29,219,0.9917762382936955
29,21,0.9917762382936955
29,228,0.9917762382936955
29,312,0.9917762382936955
61,33,0.9917301466291006
61,42,0.9917301466291006
61,44,0.9917301466291006
61,37,0.9917301466291006
110,297,0.9917283916699878
29,245,0.9917182296265836
29,329,0.9917182296265836
29,324,0.9917182296265836
29,255,0.9917182296265836
29,277,0.9917182296265836
29,321,0.9916470814230924
23,23,0.9914691023063928
29,205,0.991418044976248
29,271,0.991418044976248
0,147,0.9914158440726346
0,29,0.9914158440726346
7,2,0.9913945498166864
42,154,0.9913520720093532
68,45,0.9912544145854228
68,42,0.9912544145854228
69,44,0.9912544145854228
69,42,0.9912544145854228
69,37,0.9912544145854228
68,33,0.9912544145854228
69,33,0.9912544145854228
68,44,0.9912544145854228
110,153,0.9912352098934653
82,294,0.9912287199956348
91,294,0.9912287199956348
53,294,0.9912287199956348
23,294,0.9912287199956348
42,141,0.9911949252653168
42,1,0.9911949252653168
42,147,0.9911949252653168
42,252,0.9911949252653168
42,135,0.9911949252653168
23,222,0.9910902695083704
23,8,0.9910233710439468
21,222,0.9910209730714328
29,280,0.9909934605861932
29,235,0.9909934605861932
29,247,0.9909934605861932
29,289,0.9909934605861932
29,331,0.9909934605861932
99,201,0.9909535950905816
54,271,0.990939461064674
21,202,0.9909009026540916
42,244,0.9908324254174418
21,198,0.9907843136032352
82,202,0.9907494806941975
91,126,0.9907494806941975
91,202,0.9907494806941975
91,95,0.9907494806941975
74,329,0.9907425397818832
74,331,0.9907425397818832
74,134,0.9907425397818832
42,160,0.9907394204880215
29,242,0.9907199146320737
42,204,0.9906759279954926
42,156,0.9906759279954926
21,177,0.9905586428092262
110,37,0.9905171741516948
110,44,0.9905171741516948
110,47,0.9905171741516948
110,46,0.9905171741516948
110,42,0.9905171741516948
110,32,0.9905171741516948
110,41,0.9905171741516948
110,30,0.9905171741516948
110,43,0.9905171741516948
110,31,0.9905171741516948
110,33,0.9905171741516948
110,34,0.9905171741516948
110,45,0.9905171741516948
42,143,0.9904976794381908
42,200,0.9904976794381908
42,153,0.9904976794381908
29,282,0.9904465787597484
82,110,0.9904069652139036
91,124,0.9904069652139036
91,110,0.9904069652139036
82,112,0.9904069652139036
91,106,0.9904069652139036
82,114,0.9904069652139036
91,114,0.9904069652139036
91,82,0.9904069652139036
91,83,0.9904069652139036
91,112,0.9904069652139036
76,31,0.9903569733094856
110,10,0.9903101282543634
110,19,0.9903101282543634
21,207,0.9902911959294116
21,221,0.9901646775340608
54,145,0.9901161018014089
42,270,0.9900880132546
42,271,0.9900719246313534
42,36,0.9900067564538082
42,2,0.9900067564538082
21,123,0.990004311602486
23,255,0.989862088697979
29,313,0.9898514996568772
29,249,0.9898514996568772
29,211,0.9898514996568772
29,309,0.9898514996568772
53,305,0.9898512526258778
23,305,0.9898512526258778
82,305,0.9898512526258778
91,109,0.9898104215533404
53,109,0.9898104215533404
61,27,0.9897431100706106
23,100,0.9896389022243852
29,218,0.9895925756528716
54,232,0.9895916199446748
29,154,0.9895699266021368
91,277,0.9895506368270076
82,277,0.9895506368270076
91,99,0.9895506368270076
53,277,0.9895506368270076
23,245,0.9895506368270076
91,103,0.9895506368270076
53,245,0.9895506368270076
82,324,0.9895506368270076
23,324,0.9895506368270076
53,99,0.9895506368270076
53,324,0.9895506368270076
23,277,0.9895506368270076
82,245,0.9895506368270076
21,201,0.9894820139742132
67,45,0.9894760854102423
110,99,0.9894667359555191
110,94,0.9894667359555191
54,243,0.9894614393211074
29,306,0.9894471025200096
29,29,0.9894122919696564
29,138,0.9894122919696564
29,299,0.9894122919696564
29,157,0.9894122919696564
23,280,0.9893723197094132
53,280,0.9893723197094132
82,280,0.9893723197094132
21,216,0.9893398202840648
29,252,0.9893266014053118
110,137,0.9893197524058902
29,303,0.9892895637080464
29,147,0.9892698849252708
29,135,0.9892698849252708
37,42,0.9892128548868958
30,37,0.9892128548868958
81,31,0.9892128548868958
97,31,0.9892128548868958
81,43,0.9892128548868958
81,42,0.9892128548868958
12,43,0.9892128548868958
97,42,0.9892128548868958
97,37,0.9892128548868958
31,43,0.9892128548868958
30,43,0.9892128548868958
22,43,0.9892128548868958
22,44,0.9892128548868958
22,42,0.9892128548868958
12,44,0.9892128548868958
97,43,0.9892128548868958
22,31,0.9892128548868958
30,42,0.9892128548868958
22,37,0.9892128548868958
81,41,0.9892128548868958
81,37,0.9892128548868958
12,37,0.9892128548868958
97,41,0.9892128548868958
30,31,0.9892128548868958
31,31,0.9892128548868958
31,42,0.9892128548868958
31,41,0.9892128548868958
31,45,0.9892128548868958
30,41,0.9892128548868958
22,41,0.9892128548868958
81,44,0.9892128548868958
97,44,0.9892128548868958
22,45,0.9892128548868958
12,41,0.9892128548868958
97,33,0.9892128548868958
22,33,0.9892128548868958
30,33,0.9892128548868958
30,45,0.9892128548868958
97,45,0.9892128548868958
37,45,0.9892128548868958
29,273,0.9891502169680532
70,27,0.9891414140493052
53,56,0.989124346340238
82,56,0.989124346340238
23,56,0.989124346340238
54,294,0.9890532964663474
42,294,0.9890532964663474
34,242,0.9889533530368684
29,297,0.9888930550877876
29,20,0.9888817869995542
29,155,0.9888817869995542
29,184,0.9888817869995542
29,88,0.988877760612478
29,270,0.9888571628722412
54,270,0.9888394434830609
53,106,0.988802896777602
23,112,0.988802896777602
53,112,0.988802896777602
53,72,0.988802896777602
23,253,0.9887974240884831
99,294,0.9887830808816536
29,160,0.9887556214967266
91,50,0.9887520752545896
53,50,0.9887520752545896
9,120,0.9887352981734242
9,95,0.9887352981734242
23,95,0.9887352981734242
23,202,0.9887352981734242
9,116,0.9887352981734242
53,202,0.9887352981734242
9,55,0.9887352981734242
9,126,0.9887352981734242
9,202,0.9887352981734242
9,60,0.9887352981734242
53,60,0.9887352981734242
23,126,0.9887352981734242
7,245,0.9887344740567044
29,215,0.9887082218131504
29,156,0.9887082218131504
29,204,0.9887082218131504
54,25,0.9886618332257286
54,297,0.9886559310258664
54,244,0.9886559310258664
54,20,0.9886559310258664
54,184,0.9886559310258664
24,8,0.988538082755414
29,153,0.98849334840088
29,143,0.98849334840088
29,316,0.98849334840088
23,201,0.988472035799656
110,205,0.9884707871498228
29,200,0.9884503632255698
42,243,0.9883956590423394
9,124,0.9883792934388912
23,110,0.9883792934388912
9,83,0.9883792934388912
53,83,0.9883792934388912
9,104,0.9883792934388912
9,98,0.9883792934388912
9,114,0.9883792934388912
53,82,0.9883792934388912
54,316,0.988290485682776
54,153,0.988290485682776
54,200,0.988290485682776
110,21,0.9882899754576594
110,228,0.9882899754576594
69,30,0.9882772538706492
7,135,0.9881784944911626
29,71,0.988082533001448
99,197,0.9880541311609028
54,36,0.9880136222311288
54,234,0.9879485841434186
67,32,0.987877103275426
67,42,0.987877103275426
11,242,0.9877922567758076
0,1,0.9877621719552188
54,41,0.9877531112352776
54,26,0.9877531112352776
54,44,0.9877531112352776
42,26,0.9877531112352776
42,46,0.9877531112352776
54,43,0.9877531112352776
54,37,0.9877531112352776
54,46,0.9877531112352776
54,34,0.9877531112352776
42,34,0.9877531112352776
54,33,0.9877531112352776
54,31,0.9877531112352776
54,30,0.9877531112352776
42,39,0.9877531112352776
54,39,0.9877531112352776
42,291,0.98766452760197
54,2,0.987599179752402
54,251,0.9875496154779596
42,202,0.9875477855222076
29,243,0.9874508655802492
34,29,0.9874346045795775
29,232,0.9874053887514532
54,287,0.987388878031596
42,287,0.987388878031596
54,305,0.9873686244631286
42,305,0.9873686244631286
34,147,0.9873362969159808
23,144,0.9873255308678104
72,42,0.9873247254693251
72,43,0.9873247254693251
34,1,0.9873206644782442
54,152,0.9872349144331822
61,31,0.987209249556445
61,41,0.987209249556445
83,27,0.9870605769288986
91,280,0.9869883016471636
42,301,0.986951858561538
34,138,0.9869369816283392
7,39,0.9869128535941986
7,47,0.9869128535941986
7,42,0.9869128535941986
7,26,0.9869128535941986
61,30,0.9869122213782952
53,44,0.9868895032811168
91,47,0.9868895032811168
91,31,0.9868895032811168
23,43,0.9868895032811168
53,47,0.9868895032811168
23,47,0.9868895032811168
82,26,0.9868895032811168
91,26,0.9868895032811168
82,44,0.9868895032811168
53,41,0.9868895032811168
82,45,0.9868895032811168
23,45,0.9868895032811168
53,27,0.9868895032811168
23,41,0.9868895032811168
23,27,0.9868895032811168
53,45,0.9868895032811168
53,33,0.9868895032811168
23,31,0.9868895032811168
91,43,0.9868895032811168
23,42,0.9868895032811168
53,37,0.9868895032811168
82,42,0.9868895032811168
53,42,0.9868895032811168
82,43,0.9868895032811168
82,47,0.9868895032811168
23,37,0.9868895032811168
82,31,0.9868895032811168
23,44,0.9868895032811168
53,31,0.9868895032811168
23,26,0.9868895032811168
82,41,0.9868895032811168
53,26,0.9868895032811168
82,37,0.9868895032811168
23,39,0.9868895032811168
82,39,0.9868895032811168
53,39,0.9868895032811168
91,39,0.9868895032811168
82,33,0.9868895032811168
91,33,0.9868895032811168
34,191,0.986834213271568
42,110,0.9868178078710956
39,29,0.9867451136762968
54,236,0.986703072376093
74,255,0.9866372357439892
34,204,0.9866194108757907
21,122,0.9866182714754348
53,80,0.9866114612040154
82,2,0.9866101460941256
99,305,0.9865920351629048
29,294,0.9865786053025624
110,211,0.9865033535266052
34,110,0.98645180834795
21,278,0.9864389468520608
74,245,0.9864271713027128
74,324,0.9864271713027128
42,177,0.9864230590152194
34,20,0.9863577772511776
34,184,0.9863577772511776
11,29,0.986338868378797
29,25,0.9863006468007433
42,150,0.9862967797731844
34,297,0.98628018377376
11,135,0.9862494867410208
34,156,0.9861265954781422
91,56,0.986110964264804
91,117,0.9860899796268784
91,113,0.9860899796268784
91,93,0.9860899796268784
91,66,0.9860899796268784
21,19,0.9860564822610102
82,200,0.9860181523584708
54,202,0.9860173643011888
54,291,0.9859840509035134
99,280,0.9859474057328362
11,223,0.9859061858321684
54,171,0.985894316446352
29,15,0.985891154389233
91,62,0.985870796531102
82,62,0.985870796531102
34,200,0.9857909313229616
110,168,0.9857684616094768
11,299,0.9857560438641207
82,122,0.9856318511078288
91,122,0.9856318511078288
74,135,0.985627712020936
54,28,0.9856119629143484
34,36,0.9855250180157464
21,6,0.985446309175698
21,10,0.985446309175698
11,273,0.9854418960516212
23,197,0.9854060992949556
82,1,0.9854029968052648
23,267,0.9852997493001322
42,222,0.9852517325711396
42,307,0.9852517325711396
34,39,0.9852161908885476
29,37,0.9852161908885476
34,26,0.9852161908885476
34,42,0.9852161908885476
34,47,0.9852161908885476
29,46,0.9852161908885476
42,8,0.9852090048359576
42,40,0.9852090048359576
34,251,0.9851900351033196
29,310,0.9851661201119578
34,206,0.985120773082162
34,139,0.985120773082162
34,8,0.9851101128901748
34,127,0.9851101128901748
29,164,0.9851068297863476
18,42,0.9850933839733091
18,44,0.9850933839733091
50,37,0.9850933839733091
50,44,0.9850933839733091
18,37,0.9850933839733091
50,45,0.9850933839733091
74,45,0.9850925642566007
74,42,0.9850925642566007
74,44,0.9850925642566007
74,47,0.9850925642566007
74,26,0.9850925642566007
74,39,0.9850925642566007
74,31,0.9850925642566007
74,27,0.9850925642566007
74,43,0.9850925642566007
42,282,0.9850767784280752
34,2,0.9850625453649288
11,184,0.9850348190883907
54,63,0.9850215221760636
83,31,0.985021008839813
83,37,0.985021008839813
16,31,0.985021008839813
16,42,0.985021008839813
16,44,0.985021008839813
83,43,0.985021008839813
16,43,0.985021008839813
83,42,0.985021008839813
83,41,0.985021008839813
83,44,0.985021008839813
83,45,0.985021008839813
16,45,0.985021008839813
16,33,0.985021008839813
69,43,0.9850089644968524
68,43,0.9850089644968524
69,31,0.9850089644968524
68,31,0.9850089644968524
68,41,0.9850089644968524
69,41,0.9850089644968524
29,6,0.9848609581849348
34,305,0.9847754340741172
34,152,0.9847456465389204
29,150,0.9847189895842948
29,137,0.9847189895842948
54,218,0.9846488985658892
99,319,0.984639744575696
11,316,0.9845590249672332
4,45,0.984551628809645
53,91,0.9845345453205522
23,91,0.9845345453205522
53,76,0.9845345453205522
54,137,0.9845255358891706
54,196,0.9844589411404902
77,41,0.9844405145118158
77,44,0.9844405145118158
77,45,0.9844405145118158
36,33,0.9844405145118158
36,41,0.9844405145118158
36,44,0.9844405145118158
77,42,0.9844405145118158
36,31,0.9844405145118158
36,42,0.9844405145118158
54,303,0.9842982638621464
74,235,0.9841778791362844
29,110,0.984138431634244
71,44,0.9841160131467008
