disease	SnoRNA	Score
1	15	0.9999967242753971
6	165	0.9999912939171983
4	13	0.999986149712532
16	171	0.9999836664116756
16	153	0.9999830458855691
1	113	0.997400092444905
1	139	0.9973707639163044
1	198	0.9973707639163044
1	14	0.9973707639163044
16	8	0.9973646286646338
16	22	0.9973646286646338
16	104	0.9973646286646338
4	125	0.9973634974022181
0	9	0.997265563120422
1	9	0.9971164044845837
4	211	0.9969791572756831
6	211	0.9969154724187912
1	211	0.9969154724187912
6	135	0.996507886369609
1	0	0.996507886369609
4	9	0.9964009740023113
6	94	0.9962144671402987
1	94	0.9962144671402987
4	44	0.9962113103265474
4	154	0.9960288190918292
4	214	0.995898999443873
4	7	0.9956675800952778
4	94	0.9956675800952778
16	101	0.9956267271938558
6	182	0.995578778774241
4	106	0.9955760016642766
4	175	0.9955760016642766
4	174	0.9955760016642766
4	140	0.9955627575410436
1	10	0.9955520362891216
4	143	0.9954540320467634
1	7	0.9952056837825382
0	214	0.9951833348532938
1	76	0.9950890889727565
1	80	0.9950890889727565
1	78	0.9950890889727565
4	4	0.9949369452136062
1	115	0.9945473710382647
16	9	0.994519640339992
4	169	0.9942186325439044
4	138	0.9940569820675733
1	205	0.9938783351248914
4	178	0.9936474604444366
4	166	0.9935091069884044
4	161	0.9935091069884044
4	108	0.9934780032992823
4	0	0.9934344886385844
4	34	0.9931797449813323
1	219	0.9931590463021094
4	119	0.9931576736461245
4	139	0.9931224675590316
4	213	0.9930773143856291
4	27	0.9930773143856291
4	157	0.9930438253055793
16	199	0.9926178440461487
16	213	0.9923409451389265
16	2	0.9923409451389265
4	168	0.9921235957581269
6	84	0.9920939194276316
4	105	0.9919040650970744
4	73	0.9918954676046964
4	29	0.9918954676046964
4	67	0.9918954676046964
4	63	0.9918954676046964
4	74	0.9918954676046964
4	88	0.9916475235977272
1	133	0.9915593790863979
0	189	0.9915019294252173
6	97	0.9914997902518479
1	97	0.9914997902518479
2	72	0.9914509750954607
20	130	0.9914186456335065
0	48	0.9913980765116059
1	151	0.991371412400884
1	153	0.991371412400884
16	107	0.9912878033503572
